110;3937;4093;3640
380;61;390;2050
2288;6;1275;1033
2065;2044;135;516
249;2159;1060;2080
1018;96;81;292
310;513;1016;672
376;868;70;288
1664;2168;1260;944
3848;545;3960;1856
2065;776;1285;304
1488;324;189;304
3064;1090;3960;3832
280;1007;140;1031
3960;771;2088;900
383;304;94;4084
816;120;36;767
2624;126;257;1028
518;372;2312;42
2555;3640;904;1040
4092;300;80;521
889;1924;3840;3024
766;432;279;2052
1154;2168;889;462
3585;1151;2172;518
889;261;568;2400
3588;2208;2688;1533
104;69;416;2066
2041;1041;161;3200
259;1552;236;2056
22;476;290;452
3104;81;3080;3060
2944;3840;158;11
1537;2322;656;2051
1524;1264;35;3576
192;2072;2050;1086
505;1006;3008;1919
1680;638;92;81
408;238;4084;198
704;3048;1983;3568
440;513;648;2496
2176;1143;572;262
3972;124;1004;3936
1058;4068;279;287
3120;772;318;2049
270;16;1151;2065
447;2400;3585;4076
514;519;390;2816
257;4062;7;2
478;1025;4031;1530
2178;4033;478;1664
1985;2062;4056;236
1799;2062;284;2552
252;12;765;3970
135;88;3552;2036
540;292;4056;72
584;19;524;1216
253;904;1512;217
2568;2041;580;116
7;641;1134;2208
1143;768;3328;1806
30;2051;991;3586
520;274;1240;3964
1087;3576;3592;1022
1440;1820;1528;1922
3585;3472;93;2082
1408;2816;22;964
1922;450;220;472
2048;1270;102;2060
2036;4072;113;770
1281;318;1472;271
12;3960;641;2079
2039;12;30;408
994;271;1148;265
2080;325;3720;1776
2078;1270;1200;1025
2064;2286;904;3584
105;558;252;17
1552;4087;1044;1539
990;4064;452;1264
2296;54;514;84
456;4060;392;2308
895;2028;2047;135
1000;2559;5;542
194;880;112;254
2544;1664;1010;190
432;142;2559;1535
1023;506;2128;241
2232;532;0;4079
300;3855;996;1004
3056;1038;420;504
13;744;1524;378
1285;520;3200;527
1007;45;635;325
2080;1148;3592;897
1000;993;2024;4000
57;1161;4089;3104
322;578;2368;2580
96;455;280;2192
3570;66;416;37
