462;170;5;102;88;112;246;322;704;770;127;506;241;959;261;384;792;165;545;12;386;184;160;640;660;498;767;3;975;321;121;441
30;164;136;780;580;65;47;464;1014;509;73;56;64;142;184;656;15;508;19;769;49;246;38;68;34;270;260;498;23;254;272;78
984;94;496;330;672;78;264;580;52;145;506;45;476;792;271;385;744;756;110;645;450;125;48;976;1016;568;500;160;514;90;195;513
24;17;50;81;382;18;100;232;608;910;180;198;223;135;265;276;511;496;434;928;196;500;38;390;498;462;1;161;1008;30;816;894
162;984;896;325;318;1020;1012;110;136;656;57;500;100;496;81;94;529;385;306;96;121;519;97;80;396;991;645;784;992;7;776;432
265;133;19;548;105;1023;50;904;257;930;20;465;494;645;261;897;59;127;756;385;322;247;33;924;446;502;254;21;390;11;650;360
10;95;744;520;31;1021;504;102;26;289;193;518;736;76;252;51;494;898;35;272;240;129;1018;892;924;567;552;800;192;17;9;975
760;51;904;576;27;20;780;392;153;1023;146;242;450;452;225;420;572;612;96;387;642;98;36;64;296;960;47;448;766;61;34;975
642;522;144;476;386;68;292;894;495;542;910;148;382;340;529;635;288;994;506;962;904;251;249;988;188;165;240;135;868;124;1007;1009
133;478;898;96;280;122;1000;515;322;448;381;27;960;82;240;580;62;125;94;46;210;632;40;248;518;193;769;780;253;25;765;158
279;65;558;321;84;160;767;94;530;254;315;144;498;105;330;515;481;9;132;153;59;385;50;170;66;502;1008;992;448;516;250;512
98;988;522;650;516;136;156;26;33;572;767;55;328;800;507;1019;449;465;482;400;12;521;894;123;37;760;6;511;176;252;190;105
816;143;572;193;250;567;133;57;223;145;131;104;542;6;99;521;992;576;128;508;386;198;900;142;90;15;108;480;50;16;1;4
156;164;15;892;505;774;472;768;1016;1019;238;274;279;400;880;894;325;958;290;517;67;161;316;143;14;960;20;514;762;159;456;16
561;928;388;624;387;231;210;123;198;24;251;930;60;14;55;518;224;113;220;640;168;386;79;130;51;512;318;769;142;114;57;135
162;144;189;316;231;68;497;119;600;895;39;1007;976;69;546;258;484;496;249;26;38;975;216;1004;416;495;774;94;328;255;930;34
990;1009;82;71;262;80;800;62;223;481;680;135;266;641;120;250;263;994;34;241;498;910;35;420;8;513;1006;48;1018;432;315;325
465;527;325;532;265;84;519;247;143;71;98;568;280;650;888;160;449;124;444;897;620;189;580;34;540;832;638;592;594;766;259;360
90;635;58;264;521;388;1004;128;930;16;988;238;1016;62;99;224;239;260;516;29;25;242;480;330;54;889;924;82;104;69;263;321
247;3;386;276;8;396;958;512;522;300;360;216;543;456;190;444;889;764;330;271;912;30;14;368;1007;191;116;441;93;130;97;704
36;506;8;441;771;30;161;238;472;246;752;769;324;994;910;196;497;644;650;502;510;465;924;903;505;114;130;71;513;642;384;164
765;67;273;636;1009;297;444;769;771;945;478;408;105;180;1010;159;524;383;558;58;476;170;156;153;1019;194;120;262;162;650;792;118
312;769;510;18;368;162;636;456;288;567;325;5;236;24;73;38;129;976;131;189;497;868;88;137;68;248;945;318;575;254;447;198
290;133;510;129;9;482;620;484;4;98;952;196;180;251;44;99;639;284;69;1009;30;792;503;191;509;94;832;492;956;116;766;142
507;517;462;192;434;540;55;608;113;480;552;660;17;62;888;102;70;21;279;59;65;321;542;97;124;67;14;2;952;119;630;168
