160;162;78;120;242;125;90;4
17;236;44;252;162;71;198;116
29;21;40;10;9;194;38;72
152;238;14;22;47;100;15;63
56;73;23;5;38;116;188;25
131;57;196;222;220;247;45;152
95;58;248;0;39;4;232;136
143;0;30;119;126;120;176;32
194;142;184;100;12;9;189;208
248;55;122;239;23;47;63;246
152;253;95;56;47;125;119;84
254;223;94;63;125;120;76;130
15;75;159;239;1;8;36;102
75;114;111;44;217;55;226;74
146;249;188;44;180;253;220;156
25;7;27;184;194;108;223;114
7;192;81;41;60;200;2;65
129;96;59;192;244;49;144;193
85;93;231;7;247;220;248;2
44;20;11;71;72;252;34;239
144;2;35;3;25;193;224;165
155;37;0;225;161;64;76;7
84;26;72;111;68;69;35;57
208;108;40;127;254;194;16;244
119;7;51;143;72;60;196;20
44;88;0;191;50;30;108;198
231;110;193;129;48;140;216;64
45;239;138;18;0;20;59;119
73;39;250;129;189;36;69;55
95;44;194;57;138;191;156;79
223;7;30;196;94;122;21;39
73;110;84;238;5;241;64;143
208;134;79;236;143;198;104;108
23;31;32;200;55;64;9;108
192;14;0;168;247;189;22;108
67;52;110;152;38;23;153;1
208;76;38;57;168;145;118;170
200;134;164;194;144;65;188;90
137;226;57;176;159;225;217;3
47;195;27;180;64;121;18;82
25;104;155;29;121;176;59;246
16;25;0;55;80;38;68;9
8;68;248;7;75;45;189;84
241;58;27;161;148;126;200;70
121;131;247;130;55;253;192;127
93;99;161;159;236;81;232;74
8;232;253;65;148;198;122;9
146;5;145;13;39;120;59;217
42;40;132;61;130;168;41;30
81;111;22;135;145;85;195;184
216;130;47;44;140;99;10;217
27;158;24;217;18;195;45;159
164;137;188;44;156;34;119;74
188;216;252;116;42;111;193;84
93;102;70;252;222;71;10;26
241;92;18;19;48;244;136;191
71;80;11;29;231;132;1;70
61;76;13;186;30;25;8;113
153;18;127;236;168;99;196;192
84;59;15;146;122;93;119;242
208;32;153;98;123;140;220;254
92;40;232;17;114;44;164;49
116;160;96;38;111;30;138;108
68;42;97;196;27;226;46;32
26;81;67;97;188;129;194;59
96;99;80;68;3;118;225;19
129;118;105;5;37;162;8;1
5;193;102;143;129;35;128;65
195;186;225;56;165;239;236;18
1;191;7;99;95;69;45;195
116;118;34;223;128;158;114;208
94;1;36;110;2;46;223;38
62;22;226;129;239;125;170;58
255;13;50;54;124;76;135;200
74;241;113;137;204;9;47;92
127;114;28;137;144;88;62;85
63;95;223;24;208;29;68;27
248;41;27;239;75;71;47;124
246;58;138;140;105;250;168;144
68;29;196;4;113;150;82;145
23;95;180;226;55;62;66;223
164;52;8;192;108;135;67;248
63;110;4;30;12;134;138;249
13;108;70;146;98;88;37;222
127;92;129;40;162;13;248;76
17;71;111;242;134;23;180;127
247;239;216;217;9;137;36;224
25;193;17;190;118;40;56;252
6;65;5;159;168;128;94;193
33;192;190;13;176;191;130;193
98;136;93;72;116;11;2;104
94;159;238;251;8;145;45;216
5;168;27;170;63;156;37;73
79;35;188;210;161;208;51;108
29;239;180;124;204;96;126;1
21;105;131;29;189;61;242;222
193;33;153;40;90;125;112;84
66;55;138;247;242;99;146;189
155;11;210;96;97;137;52;24
78;90;126;36;228;11;57;79
