47;3;2;137;133;222;70;6;164;34;82;60;192;80;42;40
111;131;127;28;47;123;34;208;78;51;186;110;146;191;161;14
242;28;7;204;74;23;155;70;2;228;133;249;94;138;58;191
10;170;241;180;200;35;110;188;93;28;156;50;192;118;33;252
46;152;196;114;26;208;133;38;88;24;18;7;189;220;93;42
59;85;40;69;52;72;63;188;128;44;236;73;28;11;55;146
7;75;186;57;123;97;210;194;241;246;90;143;240;142;69;252
122;244;40;220;19;165;188;104;184;47;105;255;153;216;224;78
0;168;41;40;127;247;251;72;248;132;73;144;42;2;63;24
195;70;231;162;189;222;72;82;224;110;228;196;186;114;144;165
32;238;78;146;45;241;46;210;61;168;137;50;150;79;142;144
145;222;99;21;124;248;78;246;72;130;65;228;9;118;131;122
191;112;20;98;180;142;114;210;241;255;6;2;63;48;72;145
81;140;49;156;62;33;242;23;118;76;58;162;41;59;224;79
72;176;114;3;26;95;104;186;131;120;217;59;21;93;190;78
228;38;217;123;47;156;98;46;225;67;79;161;210;57;30;39
224;226;155;97;9;24;148;144;223;27;200;195;184;54;13;21
236;126;21;70;121;108;40;253;16;144;100;90;112;71;27;242
223;8;52;228;156;68;251;6;120;194;250;153;36;97;143;44
204;54;25;131;65;2;161;7;208;138;152;144;60;8;70;4
68;45;132;124;74;85;114;24;164;158;55;153;186;81;71;133
2;67;112;131;99;12;36;223;25;244;59;71;222;142;22;170
60;98;39;119;38;64;2;105;204;238;170;247;52;252;161;254
13;81;44;193;220;47;119;54;134;73;36;129;224;146;247;222
75;72;152;113;123;34;153;193;58;160;224;88;164;85;148;125
84;196;108;247;160;248;80;231;98;186;46;241;200;56;223;42
2;8;137;254;140;98;50;148;184;63;188;45;129;95;238;104
96;176;80;81;120;156;116;55;162;236;142;217;40;168;7;75
165;21;60;76;150;125;32;180;226;29;1;85;42;37;198;124
8;24;80;195;76;126;255;248;190;38;79;191;51;220;242;116
8;144;97;186;38;35;11;104;176;150;253;138;14;191;84;238
85;132;217;88;13;51;59;240;116;220;249;28;26;253;56;130
