22;37;253;3
242;75;30;156
23;37;246;41
32;96;251;22
170;28;142;194
189;184;94;162
137;19;14;165
96;45;84;255
189;9;50;148
85;105;68;193
2;244;159;1
246;176;88;180
180;33;124;196
56;114;79;38
5;198;14;11
62;161;153;165
94;110;15;190
200;248;26;39
196;18;19;193
226;123;38;156
250;48;156;240
93;81;51;194
42;132;194;13
84;200;168;198
31;244;156;134
196;80;135;100
135;138;123;79
127;25;137;159
111;145;71;140
132;240;85;71
60;64;204;210
210;24;193;238
0;133;144;217
56;95;226;58
54;42;114;14
95;16;216;71
44;23;68;60
105;180;38;253
12;208;94;102
192;120;250;241
158;64;226;35
116;164;64;8
142;252;23;29
1;31;112;226
21;72;5;17
160;193;64;93
93;120;95;148
116;55;254;7
116;38;161;102
59;17;14;246
13;127;176;164
208;14;176;98
159;114;15;168
195;142;45;74
35;58;48;188
15;22;111;108
102;45;3;195
133;21;11;145
168;180;247;121
25;252;249;225
152;200;42;248
130;180;93;28
210;140;158;20
62;130;116;8
239;200;17;133
148;49;79;137
64;27;75;125
18;142;26;57
158;32;130;110
12;176;222;200
15;240;223;17
33;232;10;78
123;102;88;128
120;238;180;246
140;239;168;100
9;102;208;125
20;19;62;142
60;102;42;9
110;56;18;112
156;144;140;138
88;250;189;191
3;143;40;52
204;130;164;50
23;82;118;16
49;238;108;241
79;162;116;29
225;249;162;188
95;61;3;125
51;253;38;72
155;100;34;18
165;164;65;122
94;80;121;42
25;254;232;84
36;61;180;247
19;32;159;92
100;125;176;15
47;57;119;3
40;180;28;241
146;128;41;144
133;198;249;52
