1052;125;952;4081;1824;2052;2400;543;2079;1010;2088;3598;2056;3999;2303;118;630;3264;330;2561;67;340;2175;576;287;2;516;816;152;204;898;511;3456;61;2320;35;3585;1184;1764;3048;2562;1282;45;3825;868;1018;1537;521;903;896;135;54;3068;2520;520;3076;1055;1976;744;1918;68;2688;928;131;3967;2064;1912;279;1540;2640;1041;240;316;336;650;961;180;2210;2066;1020;99;2570;390;2084;450;1089;993;5;122;2144;1794;532;612;94;3616;4032;2208;2288;552;1916;558;990;568;3024;2340;360;1150;3008;1168;1524;184;318;325;2568;766;1472;25;4087;464;3937;2159;60;2177;1248;381;250;1985;236
56;504;14;2031;1536;3070;382;2142;27;632;4084;2144;42;39;26;322;3720;506;3904;36;2624;964;3528;1920;2176;45;3360;170;912;1017;35;1736;2112;1919;1440;1320;200;1953;2288;41;3580;123;4040;217;2052;1016;2056;2036;744;84;600;192;1290;4028;945;145;130;3960;1278;2048;3264;636;13;3556;1026;476;72;1924;1224;55;288;1912;384;1032;46;2550;190;4064;265;330;2555;1041;1916;1800;386;508;280;270;65;767;3968;3808;144;1034;526;1089;484;580;4086;560;1086;1983;1950;496;310;1030;492;127;2302;2304;672;3838;3964;5;63;1472;34;975;448;3570;3936;764;2592;3074;594;208;4032;1151
576;2565;446;9;1270;1016;246;2268;133;2008;2552;1533;546;3060;4079;1033;2168;137;522;1560;3964;2559;1044;2111;254;2448;2160;3070;1;2180;200;2432;1800;3071;2084;2079;1983;2192;545;1143;2078;123;1184;2210;3584;641;958;3967;892;3836;2024;2081;122;558;368;3972;620;494;384;95;386;286;952;1161;1472;99;125;204;6;1918;4095;1086;520;19;63;1000;2720;296;2306;2110;3839;3808;226;4093;2056;536;752;68;2208;3068;47;32;1320;3084;1281;2014;26;440;792;772;502;195;192;4024;496;279;3570;1552;250;2047;1022;1090;1031;59;1824;160;271;504;544;312;4084;300;530;481;1408;895;4;434
962;1144;3040;518;3780;4066;2210;1788;156;1552;656;1921;2114;897;2042;2120;2540;462;500;29;381;2039;1030;1184;3712;552;231;253;378;2244;2688;3937;3;2520;2322;129;4092;880;4031;882;6;1025;111;138;1540;3264;1027;1240;250;1026;11;767;1534;2320;1904;2044;10;440;194;176;44;286;3616;274;4072;1440;1924;58;1041;1154;112;1278;792;48;116;1134;1272;2561;137;1922;4000;912;3844;37;502;2047;1542;3528;639;2031;50;372;1760;322;2556;522;2268;2193;92;3810;165;2;1968;2088;122;2014;99;2272;1919;1856;2880;64;216;1296;2944;289;1808;2177;1824;240;236;993;2112;2051;27;2080;492;34
912;4068;1033;241;1784;23;325;2880;208;2300;1542;108;2208;1152;1044;119;100;127;930;1535;3056;2028;1600;193;13;2051;2049;2034;240;4048;3808;97;238;38;1009;264;1300;1016;2104;1820;2016;3870;542;312;990;2286;1038;1808;452;529;2088;2520;1952;1794;767;4076;441;10;114;176;864;434;519;630;1084;1800;3616;184;47;118;500;382;3264;488;2128;51;924;1156;2272;448;252;256;892;4082;222;76;284;192;4091;766;2720;3080;522;155;62;1027;2024;2008;288;253;44;444;1087;585;484;27;49;385;704;1048;290;3842;772;1116;2064;2580;1806;4064;3580;3586;2159;2565;945;90;2142;495;1008;248
4090;3080;2076;1056;318;1120;18;840;4066;536;4062;2180;296;180;1018;1016;648;271;3076;1888;387;1104;482;3612;29;2057;1791;912;924;75;640;1544;2177;638;2058;1290;898;478;1151;2053;2176;186;2640;660;552;72;2172;210;2688;2088;2286;1584;84;26;128;1760;297;959;1919;2014;4068;2376;258;385;51;239;4082;4000;1552;2562;736;28;190;2168;1105;1285;3855;984;910;1533;3696;82;768;508;3472;249;3906;481;1019;223;2049;2024;2232;368;170;522;958;352;4076;506;142;198;2012;2031;164;330;45;1027;1824;2065;1033;148;1088;964;1320;1152;222;259;645;2544;3264;67;286;112;578;95;2306;962
2052;210;868;3967;1041;143;2565;4084;504;1888;84;4072;968;993;3976;223;612;516;96;1539;2;136;3456;1168;17;1290;95;540;1264;264;498;2088;2064;3870;1796;481;82;928;315;280;1544;3591;2142;15;1528;478;328;2306;238;1320;2816;648;528;552;450;1006;2268;4064;1799;73;2308;110;641;517;3328;286;125;1408;3848;1153;3598;1092;1856;962;514;386;3264;3968;4065;1034;4016;198;1680;255;190;508;446;3074;1982;3584;35;38;2159;276;672;4095;1600;639;79;135;3583;131;1542;2053;228;1224;1057;51;1152;3582;64;4056;497;420;387;249;449;3585;396;2174;500;792;204;585;400;324;180;2057
3066;4094;4;958;3855;2044;1168;1504;284;2016;2580;1039;2561;516;4088;480;3074;37;964;1150;2120;1260;3588;42;168;2480;455;2017;584;456;3136;3838;3056;945;744;3071;1632;2043;507;126;1089;2063;64;306;956;1170;544;448;1028;1279;2304;100;74;2688;991;2568;256;928;1542;3570;635;170;1540;1539;195;1248;3;312;4030;620;0;2064;4079;578;3070;2303;3952;638;2049;265;3060;1728;50;2432;529;416;1038;4068;1950;1784;3577;508;113;1918;1538;895;3825;1031;1912;816;3583;2060;193;4086;80;4016;432;868;1288;2036;3585;2232;90;1528;1281;3084;1544;160;772;476;2176;1736;4092;2076;125;897;2065;1029
3066;143;2038;2072;2192;768;544;160;3060;512;144;3591;2144;3966;1919;1170;189;3841;3696;482;2145;3612;2308;1038;1008;3855;2302;3136;1920;944;225;284;1860;290;3568;65;464;1087;832;66;44;2193;36;1224;2030;3072;2080;71;132;1600;1288;574;259;904;48;4072;1026;1984;930;1728;3580;2034;1888;1116;1033;232;360;2313;2159;32;632;912;118;352;897;3068;70;3472;3360;1055;1976;894;57;624;1512;29;2580;2176;1034;321;3084;58;2047;1890;3810;1922;1;2113;1161;2296;238;924;528;1912;4080;2561;898;3937;2128;279;2039;1144;68;975;1134;765;126;988;41;4062;1092;3970;45;524;1153;388;542;3
1536;4028;2050;1028;552;1089;3168;964;2066;125;19;300;3856;1105;1009;176;225;226;532;1281;2079;2688;1041;2520;464;2144;975;8;5;1058;385;140;4090;2008;517;500;41;432;530;88;325;1504;241;3070;2052;1021;145;1764;111;756;769;4089;4062;1778;1264;2096;1936;502;988;449;3552;336;660;7;1952;991;1023;56;74;482;521;75;1488;3952;2044;3964;1019;2480;1785;3075;620;1912;2550;1017;968;254;478;3584;95;1512;2296;503;448;66;98;548;69;608;137;143;3776;4093;228;1528;3576;40;444;2159;3073;2055;288;4031;153;18;2049;2368;993;4072;93;1030;131;2051;452;2033;656;312;930;52
