446;572;21;521
1015;81;60;145
1014;832;568;608
392;1021;37;1010
456;152;204;444
976;498;191;988
976;129;50;228
479;304;222;452
520;864;268;771
396;962;241;268
396;13;771;472
39;23;448;784
640;506;146;204
1018;32;255;232
800;768;630;34
44;340;450;144
289;509;29;28
515;264;25;122
198;1014;511;120
585;584;105;180
1019;527;1008;296
959;111;567;95
368;265;385;650
450;164;21;524
12;645;46;635
74;360;72;300
517;47;383;991
142;256;25;584
880;382;526;456
780;273;292;1010
125;500;10;904
994;524;259;1017
257;641;296;280
248;641;322;513
88;130;456;67
6;903;968;191
49;40;104;127
65;35;385;127
95;924;480;5
632;574;260;142
70;608;636;127
744;136;113;40
521;325;636;592
956;58;584;984
40;286;111;14
376;766;272;310
1010;144;641;210
585;11;252;766
35;1014;104;1010
1017;257;80;352
416;224;991;472
340;996;276;0
231;645;248;444
1004;505;1000;137
88;392;576;272
119;42;72;1022
132;231;195;360
132;188;880;46
495;52;975;387
195;11;1012;577
996;529;567;321
542;289;71;312
744;204;260;36
816;50;441;168
12;888;1023;258
176;44;161;226
464;217;88;762
504;509;286;143
34;636;4;312
74;532;192;766
513;265;236;512
143;95;39;944
127;447;216;771
111;497;968;882
505;1023;216;232
94;514;5;505
495;496;168;280
68;24;137;191
958;224;140;246
396;962;297;193
387;256;44;640
322;41;1016;51
504;231;306;34
962;441;297;784
784;544;146;521
125;896;191;510
111;125;1009;65
241;400;16;895
572;252;522;440
400;632;542;241
304;520;636;506
102;29;1014;122
82;255;768;17
545;270;895;304
132;508;150;924
130;217;50;959
767;764;51;546
484;82;273;568
772;608;910;387
924;516;320;251
