1022;500;792;630;594;450;756;176;416;143;93;256;521;92;476;620
930;58;76;257;127;160;15;510;832;94;1010;624;319;208;641;9
680;322;1009;504;1015;238;455;254;138;990;67;408;481;208;585;123
273;641;252;996;476;336;72;322;993;190;516;112;464;20;260;143
478;15;648;79;31;92;48;548;766;136;765;880;25;1010;55;1023
639;497;330;704;198;259;574;200;964;20;12;120;244;70;455;241
3;164;517;136;264;328;9;20;263;99;506;296;168;142;191;66
441;247;63;567;194;478;138;121;159;521;292;642;40;760;382;33
528;26;72;481;889;262;1009;231;372;274;194;32;102;1010;524;450
895;228;380;61;988;767;888;478;196;268;568;82;216;529;242;816
95;959;271;268;1016;840;63;744;78;641;322;121;257;640;262;1008
12;536;312;286;304;325;991;6;127;328;903;1;996;113;288;396
944;522;960;996;868;63;3;574;74;32;544;75;226;383;121;78
382;113;290;892;127;440;118;180;321;112;300;585;449;242;64;704
510;868;272;434;252;49;248;504;88;488;1012;57;767;158;1000;231
21;216;962;387;448;222;120;324;246;672;56;959;263;18;352;184
100;894;502;390;897;247;452;984;543;161;75;133;90;994;975;382
770;130;128;8;1007;247;380;241;780;769;432;568;158;772;528;159
200;112;123;204;194;924;510;324;99;63;263;105;561;898;241;528
408;241;568;992;118;114;536;528;29;2;26;509;246;130;465;138
204;58;771;447;540;320;155;217;90;952;450;195;306;894;35;392
55;105;592;51;260;513;48;996;232;776;75;81;257;244;770;561
225;39;1009;255;78;612;113;238;65;384;532;648;131;526;64;396
113;208;524;82;290;462;66;274;522;217;988;156;529;114;236;63
56;271;164;94;960;252;128;903;273;121;577;864;767;104;990;961
400;585;478;54;340;645;272;792;888;776;526;387;236;273;112;81
250;90;104;780;156;262;133;894;544;506;123;384;516;62;94;15
310;31;54;446;636;296;993;882;3;772;270;548;143;944;540;152
511;132;465;92;577;864;312;56;507;765;188;156;993;290;1012;231
152;19;124;449;447;720;84;67;241;72;1007;991;104;1006;73;1018
105;74;280;168;276;495;636;108;208;960;3;310;268;472;170;35
318;316;656;930;736;990;46;19;189;645;568;255;612;200;188;639
0;284;434;910;1009;959;518;381;22;112;992;82;504;984;880;522
762;464;85;225;380;253;792;279;136;135;387;910;32;156;116;816
0;930;231;441;340;506;39;576;10;532;503;288;542;223;242;509
321;165;25;289;392;636;265;26;635;27;518;784;894;45;252;100
127;125;255;752;552;20;882;1023;129;383;462;762;1007;247;512;21
280;170;448;132;450;266;447;336;511;17;800;287;56;924;145;57
292;253;250;48;636;482;420;118;114;261;680;180;519;241;594;111
880;286;585;78;266;512;895;545;472;304;372;644;70;249;996;444
137;258;960;478;641;396;260;266;388;545;113;584;247;259;576;33
119;100;140;1015;239;114;292;864;500;64;312;85;11;261;895;930
284;32;638;120;904;36;82;121;910;381;140;519;158;24;161;51
960;63;480;882;110;30;903;560;991;36;81;132;122;527;61;386
223;45;92;155;360;572;456;382;991;62;988;510;40;642;8;517
504;262;82;152;383;4;1;188;736;452;446;287;575;247;956;198
770;255;196;360;240;385;29;146;368;3;56;1008;656;180;330;476
360;56;330;991;900;976;148;161;10;543;118;15;136;324;198;290
378;26;529;228;832;650;1023;176;390;528;270;478;196;382;772;624
543;1018;620;20;762;640;542;390;84;241;440;376;217;210;208;4
