38;6;17;14;35;46;25;39
4;27;26;18;11;63;1;8
61;41;58;8;28;20;38;25
16;23;7;62;0;58;44;59
60;19;18;41;17;3;10;1
58;60;52;23;57;47;59;46
11;8;40;52;37;57;25;2
13;31;10;44;63;28;50;25
10;5;39;2;13;46;27;42
8;24;2;50;61;42;5;1
30;19;3;48;18;57;40;44
42;59;1;49;37;51;35;63
63;4;0;45;33;6;41;19
31;47;12;60;14;30;22;24
26;32;38;22;44;36;31;6
47;1;18;0;8;31;51;17
56;39;17;40;44;7;57;38
11;9;49;55;26;3;21;37
59;36;24;50;40;32;7;47
37;33;7;56;18;0;5;44
30;14;50;24;38;35;27;10
29;51;62;50;0;7;35;56
38;22;32;59;54;16;9;15
37;17;30;44;28;18;12;32
9;63;39;58;30;1;11;2
44;37;49;18;46;63;21;36
52;28;34;7;49;58;51;16
31;18;6;41;55;20;46;19
4;62;0;5;34;13;39;12
15;5;35;59;49;10;51;29
42;38;63;32;34;22;58;11
37;5;19;17;46;55;1;41
50;8;61;4;9;36;62;1
6;45;48;17;24;36;10;55
16;62;20;51;37;11;2;56
32;17;51;1;28;31;59;62
47;40;0;42;22;5;41;24
51;63;35;61;62;3;34;9
37;44;15;11;60;8;52;5
49;46;12;20;19;14;45;2
4;27;23;40;61;39;3;1
5;24;6;18;37;36;2;19
46;63;16;32;8;57;56;34
34;42;17;2;39;47;40;11
8;40;45;22;44;63;6;34
16;50;56;26;59;45;33;57
14;2;31;60;42;35;26;50
19;9;30;33;6;57;16;2
55;2;23;24;9;54;35;63
9;49;20;39;10;24;51;57
48;3;15;51;34;2;6;59
33;59;35;44;9;16;21;18
19;32;14;51;28;2;39;47
41;60;19;23;42;15;55;59
60;41;33;39;46;3;55;50
29;46;27;7;32;39;13;8
35;42;15;30;45;6;18;52
57;0;12;39;47;15;9;28
57;10;48;37;14;25;13;2
16;18;60;36;32;51;34;17
34;39;6;32;48;21;60;38
58;25;14;63;28;51;23;32
40;32;20;31;18;22;13;28
38;42;15;55;4;31;13;0
24;60;0;62;51;27;19;6
62;26;52;18;16;36;37;46
37;38;8;14;36;19;13;39
14;40;22;3;46;42;63;52
17;0;22;51;37;54;18;27
13;19;28;35;34;46;16;55
13;5;47;56;26;14;25;1
36;39;20;12;8;55;45;18
27;39;61;33;62;25;26;38
26;11;45;15;60;21;41;59
47;29;54;55;18;63;27;3
24;12;49;36;9;46;40;23
10;38;42;54;33;59;37;41
12;40;33;44;49;35;16;56
62;3;41;39;51;40;44;45
17;42;11;19;5;1;27;40
19;52;7;14;25;60;32;62
41;3;12;62;54;11;50;49
31;61;25;26;36;24;27;59
17;26;30;3;31;9;11;62
1;20;12;21;42;16;57;60
3;33;63;4;35;28;48;38
31;15;39;58;56;24;27;7
40;12;6;42;18;17;31;0
3;13;62;37;47;22;33;12
8;25;35;12;24;31;62;36
61;7;13;46;16;51;45;23
3;28;63;38;33;23;7;0
49;33;26;24;18;31;30;51
42;29;0;17;20;32;13;3
24;48;28;0;52;63;61;23
50;47;35;19;44;34;54;7
25;33;35;13;2;1;28;38
63;9;49;37;23;52;34;22
19;46;28;4;51;10;20;49
58;24;36;14;21;30;60;10
