35;28;36;29
15;11;5;47
11;8;33;41
31;5;19;4
25;38;56;16
6;22;26;16
31;21;30;59
58;52;21;59
39;26;33;14
10;50;34;20
40;60;30;58
34;11;48;21
54;30;32;41
39;46;9;58
44;37;34;48
25;47;41;34
7;22;61;48
7;32;47;50
22;7;60;16
46;4;7;8
15;33;26;59
28;25;21;46
22;31;39;18
21;61;34;36
7;19;16;30
61;9;17;39
5;57;47;29
28;40;10;46
21;38;20;28
41;32;63;17
19;11;34;2
63;20;7;61
59;24;42;12
12;15;19;13
34;1;14;61
46;61;5;48
20;10;50;34
28;44;60;11
27;25;11;60
8;13;3;61
5;62;28;51
22;46;45;31
50;28;14;8
31;51;52;25
39;18;42;22
14;60;21;38
1;46;55;49
9;22;47;13
40;4;41;39
35;54;36;48
49;26;52;45
9;18;48;39
48;51;24;0
31;18;37;42
26;11;34;35
1;55;32;8
27;19;13;24
25;7;26;61
2;19;29;14
55;6;25;14
8;25;41;44
24;51;54;9
18;21;49;52
46;22;35;3
37;19;34;15
31;2;10;26
42;30;40;12
63;29;15;44
45;61;31;51
60;6;21;22
18;57;28;7
36;24;44;2
7;58;46;54
29;56;16;48
20;5;24;29
34;57;2;15
41;44;59;46
22;15;23;50
26;7;31;28
45;26;25;47
54;6;2;11
5;3;47;59
48;14;26;16
31;49;40;21
10;7;54;55
56;25;47;35
63;0;21;62
27;38;9;10
59;26;12;40
14;60;33;21
16;30;45;23
13;39;54;33
56;29;21;62
54;25;22;17
11;32;59;22
51;2;48;46
34;8;1;21
6;20;15;25
16;37;30;46
11;16;2;0
