6;21;14;8
15;17;27;14
15;19;21;20
24;19;2;16
23;1;5;8
14;23;29;15
14;11;7;4
24;1;11;15
14;19;20;31
0;7;4;25
31;26;18;25
25;31;26;10
22;28;6;5
24;4;19;8
22;19;4;25
12;15;7;29
5;26;17;22
10;23;7;15
10;19;25;28
15;25;18;26
24;13;9;16
15;19;12;17
18;5;15;29
14;12;18;26
10;14;19;13
23;8;14;3
0;23;14;24
15;0;5;11
27;13;16;8
23;7;22;8
16;21;19;10
19;13;16;28
27;4;26;8
29;30;19;7
25;15;8;24
24;26;29;5
22;1;15;30
7;6;17;27
7;23;14;0
18;12;2;11
31;12;11;30
13;20;3;7
11;0;22;23
13;21;2;29
23;31;11;25
13;31;6;26
27;20;24;31
15;1;25;16
16;26;21;5
26;29;15;28
29;7;22;12
13;27;29;10
24;29;5;10
23;9;24;7
12;0;21;28
10;30;28;19
1;23;8;16
14;2;22;27
21;16;5;24
27;6;21;18
1;27;25;30
26;7;2;0
10;30;23;3
10;24;25;15
9;19;4;5
14;26;15;28
14;13;11;1
30;17;11;14
2;29;5;25
2;20;27;1
28;25;31;19
5;10;23;30
0;25;15;7
13;1;14;2
23;28;15;3
4;7;18;29
14;13;29;3
30;6;11;20
5;11;3;1
7;21;4;10
28;10;26;13
20;3;13;31
6;22;19;26
13;6;23;8
18;20;22;6
11;21;10;5
16;10;15;13
20;24;26;19
14;3;10;27
16;29;18;17
12;26;0;28
4;29;2;30
25;9;10;23
15;7;29;1
21;5;11;15
9;6;29;13
5;22;2;18
4;30;27;9
7;28;4;21
17;7;25;18
