22;23;4;26;10;12;20;2;21;19;6;27;31;29;28;11
4;26;5;3;25;18;20;22;29;10;7;14;0;9;8;27
4;0;11;14;13;19;30;17;15;7;22;25;8;9;16;26
2;19;5;4;9;24;21;0;3;11;14;6;13;10;22;12
13;8;24;17;1;20;27;5;25;26;10;11;22;14;19;30
5;24;19;30;26;3;1;6;23;20;21;9;2;0;14;10
30;4;26;9;3;21;11;12;13;0;22;8;14;16;24;20
14;13;19;8;6;26;24;20;10;21;29;15;27;11;22;1
29;0;1;12;28;24;20;13;15;21;8;26;18;2;6;30
20;12;23;7;9;0;5;29;4;6;27;11;8;19;18;30
3;11;18;7;9;8;16;4;12;20;23;19;21;17;22;1
24;27;21;2;20;26;13;18;3;22;5;29;12;28;15;25
19;21;7;26;0;2;29;18;30;16;27;11;3;28;25;15
18;30;31;17;14;16;11;20;25;26;5;1;7;0;4;3
19;2;15;10;6;21;16;11;1;20;23;25;31;27;22;12
11;30;12;15;22;1;5;16;18;13;3;6;0;24;19;27
19;31;11;15;29;10;20;21;1;4;7;26;23;27;28;14
10;5;24;14;2;7;18;4;13;28;16;22;11;9;23;31
20;24;17;8;2;16;30;19;12;28;3;26;4;7;18;14
30;31;29;3;10;9;23;11;22;0;6;19;16;4;20;21
2;5;7;21;16;10;1;31;30;0;6;27;12;8;29;3
25;22;9;30;6;15;4;11;5;10;8;3;27;29;0;17
0;13;8;12;3;10;17;9;29;5;27;1;7;18;16;20
29;13;1;6;24;7;3;23;17;10;21;31;20;26;8;19
23;18;24;27;9;3;25;8;30;26;31;6;16;28;4;21
21;22;16;6;11;1;10;13;2;23;17;25;20;19;26;28
2;9;19;25;3;24;21;30;26;17;1;12;28;13;18;10
1;24;10;23;27;13;9;2;26;31;7;5;16;4;21;20
26;27;30;5;16;10;15;18;19;17;12;25;20;3;8;7
5;20;25;8;10;6;19;13;14;31;27;28;22;23;9;4
14;27;30;21;9;18;13;19;17;7;23;11;1;20;5;10
10;27;9;21;3;30;16;12;22;11;4;7;13;23;5;17
23;31;17;28;29;3;13;8;12;22;1;4;19;26;18;9
5;23;7;10;12;18;8;19;6;16;15;26;22;25;3;14
1;9;13;16;23;8;24;31;28;22;27;10;7;5;12;17
28;3;27;14;25;12;9;6;1;2;4;15;24;16;19;8
19;30;4;27;15;28;23;11;29;14;1;24;20;18;6;17
20;14;27;17;2;10;26;4;12;16;7;28;25;22;6;8
20;7;25;16;3;18;9;13;24;1;0;30;28;31;5;27
28;17;8;29;3;14;31;10;11;7;0;15;25;12;30;13
8;10;12;20;11;26;18;21;1;27;17;5;25;28;2;24
27;30;31;6;20;26;22;2;16;10;11;8;29;5;3;28
16;14;4;17;11;1;7;21;0;10;20;31;13;18;24;30
18;28;16;20;26;24;25;15;31;30;2;29;5;13;22;4
4;2;23;14;8;1;21;7;0;19;11;18;20;10;22;31
28;29;22;24;25;19;7;12;3;16;23;10;17;2;4;0
18;11;29;28;4;8;22;23;3;20;1;21;12;7;15;26
8;16;21;14;22;6;18;10;2;15;25;11;7;1;30;19
10;5;7;0;26;8;15;6;27;29;4;1;9;3;22;16
8;22;28;15;4;20;23;6;26;31;13;24;11;10;17;14
4;31;12;3;6;25;20;27;9;5;13;28;21;19;10;0
1;12;8;0;13;3;28;26;21;5;17;27;6;2;30;15
17;5;22;30;8;12;13;9;26;15;21;1;28;0;11;10
13;4;30;18;20;5;23;10;11;28;16;2;8;31;0;15
4;25;18;26;20;30;1;10;8;22;7;27;6;2;28;16
17;24;23;16;21;2;7;20;11;5;8;15;14;22;0;31
29;13;25;24;0;23;12;6;18;14;11;20;10;21;7;8
17;5;27;31;7;29;13;4;15;24;2;20;8;23;21;28
6;3;12;16;26;2;15;31;13;18;24;29;0;1;10;14
13;12;6;25;28;17;3;8;1;9;0;23;24;19;20;2
1;14;27;11;8;30;7;20;16;19;4;24;22;31;6;18
21;26;24;29;23;31;17;20;5;0;6;22;27;9;14;25
13;22;15;28;0;6;12;14;18;27;21;11;26;29;2;5
22;25;0;10;13;8;1;29;2;7;5;11;21;14;4;16
15;10;0;9;22;31;4;28;13;16;27;12;18;14;11;21
8;21;30;19;7;17;28;15;27;4;12;16;10;23;24;25
